student_id,avg_sgpa,sgpa_std,trend_slope,completed_credits,remaining_credits,target_cgpa,required_sgpa,performance_level,chance_label
1,9.22,0.26,0.062,114.0,80.0,8.93,8.52,Excellent,High
2,9.72,0.3,0.199,100.0,46.0,9.59,9.32,Excellent,High
3,5.03,0.64,-0.221,114.0,110.0,5.56,6.11,Below Average,Low
4,9.09,0.31,0.067,134.0,66.0,9.47,10.25,Excellent,Low
5,6.93,0.4,-0.355,98.0,108.0,8.36,9.66,Average,Low
6,4.97,0.21,-0.42,42.0,18.0,5.45,6.57,Below Average,Low
7,8.7,0.13,-0.26,44.0,22.0,8.32,7.57,Excellent,High
8,5.72,0.3,-0.154,88.0,22.0,6.85,11.37,Average,Low
9,6.84,0.27,-0.015,126.0,72.0,6.82,6.79,Average,Medium
10,4.19,0.56,-0.334,104.0,80.0,5.11,6.31,Below Average,Low
11,7.26,0.22,0.068,106.0,80.0,6.27,4.96,Good,High
12,6.93,0.3,-0.355,58.0,92.0,8.61,9.67,Average,Low
13,7.13,0.27,0.075,100.0,68.0,8.91,11.53,Good,Low
14,7.08,0.1,-0.2,40.0,38.0,8.89,10.8,Good,Low
15,9.48,0.47,0.495,66.0,42.0,8.87,7.92,Excellent,High
16,5.26,0.47,0.233,128.0,68.0,6.87,9.9,Below Average,Low
17,5.52,0.53,-0.211,104.0,114.0,5.15,4.82,Average,Medium
18,5.85,0.2,0.24,72.0,48.0,5.34,4.58,Average,High
19,5.7,0.41,0.136,126.0,26.0,6.85,12.4,Average,Low
20,4.58,0.58,-0.64,70.0,78.0,5.33,6.0,Below Average,Low
21,5.41,0.63,0.336,140.0,22.0,7.39,19.99,Below Average,Low
22,6.52,0.19,0.065,96.0,110.0,8.39,10.02,Average,Low
23,5.68,0.27,0.139,94.0,108.0,7.38,8.86,Average,Low
24,8.02,0.27,0.118,84.0,66.0,8.55,9.23,Good,Low
25,7.44,0.1,0.039,96.0,84.0,6.77,6.0,Good,High
26,5.55,0.46,-0.403,78.0,122.0,5.82,6.0,Average,Low
27,9.78,0.38,0.11,138.0,44.0,9.11,7.0,Excellent,High
28,9.52,0.33,-0.129,134.0,40.0,9.33,8.7,Excellent,Medium
29,5.2,0.41,0.164,142.0,114.0,5.54,5.97,Below Average,Medium
30,4.89,0.23,-0.46,38.0,82.0,5.98,6.49,Below Average,Low
31,8.84,0.4,0.005,108.0,40.0,8.69,8.28,Excellent,Medium
32,5.0,0.51,0.192,86.0,100.0,5.52,5.97,Below Average,Medium
33,8.97,0.37,-0.151,136.0,116.0,9.09,9.23,Excellent,Medium
34,7.59,0.48,0.221,134.0,46.0,6.7,4.1,Good,High
35,8.32,0.53,-0.467,88.0,76.0,8.76,9.26,Good,Low
36,9.16,0.22,0.44,38.0,86.0,8.83,8.68,Excellent,High
37,7.65,0.09,-0.005,62.0,70.0,8.38,9.03,Good,Low
38,8.58,0.35,0.301,90.0,92.0,8.06,7.55,Excellent,High
39,5.93,0.3,0.114,110.0,80.0,5.34,4.53,Average,High
40,6.21,0.12,-0.03,90.0,124.0,5.92,5.71,Average,Medium
41,9.59,0.51,0.535,54.0,20.0,9.35,8.71,Excellent,High
42,7.11,0.55,-0.347,88.0,104.0,7.59,8.0,Good,Low
43,6.25,0.37,-0.445,78.0,92.0,7.17,7.95,Average,Low
44,7.47,0.16,-0.106,86.0,102.0,9.27,10.79,Good,Low
45,9.1,0.27,0.009,110.0,20.0,9.63,12.53,Excellent,Low
46,8.04,0.47,0.142,130.0,82.0,9.88,12.79,Good,Low
47,7.05,0.28,-0.56,44.0,70.0,7.92,8.47,Good,Low
48,6.18,0.67,-0.271,128.0,44.0,6.84,8.76,Average,Low
49,5.58,0.26,-0.147,88.0,92.0,5.22,4.88,Average,Medium
50,4.89,0.37,0.097,128.0,20.0,5.04,6.0,Below Average,Low
51,6.86,0.17,-0.35,48.0,46.0,7.59,8.35,Average,Low
52,7.28,0.14,0.075,68.0,22.0,8.07,10.51,Good,Low
53,7.47,0.18,-0.101,106.0,108.0,8.25,9.02,Good,Low
54,8.53,0.45,-0.398,80.0,60.0,9.55,10.91,Excellent,Low
55,4.69,0.3,0.088,124.0,64.0,6.13,8.91,Below Average,Low
56,7.8,0.56,0.23,66.0,48.0,8.22,8.8,Good,Medium
57,9.06,0.37,0.227,112.0,44.0,9.25,9.74,Excellent,Medium
58,4.66,0.16,0.085,68.0,112.0,5.96,6.75,Below Average,Low
59,9.17,0.33,0.188,108.0,26.0,9.98,13.36,Excellent,Low
60,4.96,0.2,0.39,46.0,108.0,5.79,6.14,Below Average,Medium
61,6.92,0.69,-0.398,128.0,106.0,7.29,7.74,Average,Low
62,5.24,0.32,-0.258,88.0,126.0,6.9,8.06,Below Average,Low
63,6.44,0.56,-0.248,134.0,108.0,8.08,10.11,Average,Low
64,5.47,0.16,0.185,68.0,18.0,6.56,10.69,Below Average,Low
65,7.5,0.19,-0.17,76.0,90.0,7.0,6.58,Good,Medium
66,4.45,0.45,-0.027,110.0,22.0,5.65,11.66,Below Average,Low
67,8.57,0.31,0.094,126.0,102.0,9.67,11.03,Excellent,Low
68,9.66,0.13,-0.021,90.0,18.0,9.48,8.56,Excellent,High
69,6.65,0.3,-0.023,108.0,22.0,7.09,9.25,Average,Low
70,5.29,0.42,0.85,48.0,20.0,6.77,10.33,Below Average,Low
71,5.65,0.06,-0.07,60.0,42.0,7.52,10.19,Average,Low
72,8.77,0.57,0.27,126.0,94.0,9.14,9.63,Excellent,Medium
73,9.78,0.22,0.072,86.0,44.0,9.05,7.63,Excellent,High
74,8.97,0.13,-0.26,48.0,84.0,9.14,9.24,Excellent,Medium
75,5.01,0.19,-0.014,108.0,120.0,5.89,6.69,Below Average,Low
76,8.15,0.15,0.29,44.0,92.0,7.36,6.98,Good,High
77,6.57,0.15,-0.15,64.0,24.0,6.71,7.07,Average,Medium
78,8.43,0.21,0.025,96.0,38.0,8.8,9.73,Good,Low
79,4.57,0.36,-0.095,116.0,84.0,5.3,6.31,Below Average,Low
80,6.9,0.31,0.081,124.0,22.0,8.73,19.02,Average,Low
81,7.42,0.43,-0.021,130.0,66.0,6.78,5.51,Good,High
82,6.31,0.07,-0.15,36.0,22.0,5.99,5.47,Average,Medium
83,7.95,0.89,0.72,70.0,108.0,8.53,8.91,Good,Medium
84,7.45,0.31,0.087,118.0,122.0,8.86,10.22,Good,Low
85,7.83,0.36,0.123,84.0,90.0,6.96,6.15,Good,High
86,5.41,0.46,0.475,64.0,38.0,5.62,5.97,Below Average,Medium
87,6.03,0.45,0.03,102.0,112.0,5.72,5.44,Average,Medium
88,7.17,0.31,-0.008,132.0,50.0,6.38,4.29,Good,High
89,5.21,0.38,-0.071,122.0,94.0,5.34,5.51,Below Average,Medium
90,8.18,0.22,-0.025,144.0,20.0,8.14,7.88,Good,Medium
91,4.71,0.38,-0.76,44.0,88.0,6.46,7.33,Below Average,Low
92,7.55,0.46,0.53,64.0,106.0,7.59,7.61,Good,High
93,7.34,0.52,-0.134,110.0,46.0,7.86,9.1,Good,Low
94,4.95,0.25,-0.081,114.0,68.0,5.9,7.49,Below Average,Low
95,6.65,0.37,0.045,68.0,66.0,7.55,8.48,Average,Low
96,5.81,0.25,0.5,50.0,120.0,7.16,7.72,Average,Low
97,4.98,0.34,-0.26,72.0,52.0,5.39,5.96,Below Average,Low
98,8.69,0.69,-0.239,128.0,18.0,9.87,18.28,Excellent,Low
99,7.28,0.44,0.17,72.0,112.0,8.52,9.31,Good,Low
100,5.18,0.25,-0.49,46.0,90.0,5.38,5.48,Below Average,Low
101,7.22,0.24,-0.07,116.0,78.0,7.81,8.68,Good,Low
102,6.39,0.14,0.155,66.0,38.0,6.07,5.51,Average,High
103,6.0,0.21,-0.41,46.0,26.0,5.86,5.61,Average,Medium
104,6.08,0.17,0.33,44.0,24.0,5.21,3.61,Average,High
105,4.79,0.18,0.04,70.0,72.0,6.14,7.45,Below Average,Low
106,4.91,0.41,0.054,132.0,18.0,6.83,20.88,Below Average,Low
107,7.77,0.08,0.17,48.0,50.0,8.7,9.59,Good,Low
108,8.85,0.47,-0.28,66.0,116.0,7.96,7.46,Excellent,High
109,7.29,0.41,-0.355,72.0,18.0,6.56,3.64,Good,High
110,4.79,0.25,-0.061,116.0,20.0,6.05,13.35,Below Average,Low
111,7.31,0.24,-0.48,44.0,74.0,6.48,5.98,Good,Medium
112,6.76,0.24,0.162,94.0,40.0,8.1,11.25,Average,Low
113,8.63,0.35,0.172,106.0,110.0,8.96,9.28,Excellent,Medium
114,6.43,0.45,-0.251,126.0,104.0,5.88,5.22,Average,Medium
115,6.86,0.65,0.331,110.0,40.0,8.44,12.8,Average,Low
116,7.71,0.32,-0.217,92.0,114.0,8.39,8.94,Good,Low
117,8.83,0.19,0.123,116.0,106.0,9.04,9.27,Excellent,Medium
118,5.94,0.28,0.335,60.0,118.0,7.6,8.44,Average,Low
119,8.4,0.41,0.164,116.0,90.0,9.97,11.99,Good,Low
120,8.36,0.26,0.29,70.0,26.0,8.47,8.77,Good,Medium
121,6.32,0.41,-0.445,64.0,104.0,7.29,7.89,Average,Low
122,8.49,0.21,-0.41,48.0,26.0,8.52,8.57,Good,Low
123,9.27,0.26,-0.019,106.0,50.0,9.22,9.11,Excellent,Medium
124,6.49,0.06,0.019,84.0,40.0,8.01,11.2,Average,Low
125,9.33,0.21,-0.062,128.0,22.0,8.45,3.32,Excellent,High
126,6.24,0.08,0.16,44.0,24.0,6.99,8.36,Average,Low
127,7.36,0.41,0.445,62.0,78.0,6.43,5.69,Good,High
128,8.64,0.26,-0.119,122.0,64.0,8.76,8.98,Excellent,Medium
129,6.57,0.19,-0.39,42.0,62.0,6.92,7.16,Average,Low
130,7.3,0.44,0.239,128.0,66.0,6.44,4.77,Good,High
131,5.17,0.68,0.569,88.0,68.0,6.49,8.2,Below Average,Low
132,7.94,0.26,0.315,60.0,40.0,9.77,12.51,Good,Low
133,8.53,0.45,-0.017,122.0,108.0,9.33,10.23,Excellent,Low
134,4.96,0.08,0.17,44.0,88.0,6.14,6.73,Below Average,Low
135,6.9,0.5,1.0,38.0,94.0,6.93,6.94,Average,High
136,5.97,0.47,-0.271,110.0,48.0,6.58,7.99,Average,Low
137,6.82,0.69,0.35,130.0,114.0,8.76,10.98,Average,Low
138,7.36,0.18,0.37,48.0,44.0,7.39,7.42,Good,High
139,5.64,0.23,0.114,104.0,76.0,7.25,9.45,Average,Low
140,7.8,0.54,0.162,138.0,22.0,8.34,11.71,Good,Low
141,6.08,0.18,0.37,46.0,90.0,5.09,4.59,Average,High
142,9.01,0.07,-0.13,46.0,110.0,8.73,8.61,Excellent,Medium
143,6.0,0.64,0.54,64.0,40.0,7.22,9.17,Average,Low
144,7.86,0.12,0.25,38.0,90.0,8.59,8.9,Good,Medium
145,4.56,0.3,0.045,70.0,44.0,5.03,5.78,Below Average,Low
146,8.24,0.38,-0.113,138.0,106.0,9.51,11.17,Good,Low
147,5.59,0.62,-0.501,94.0,80.0,5.7,5.83,Average,Low
148,8.33,0.78,-0.417,90.0,70.0,8.07,7.74,Good,Medium
149,9.24,0.16,0.064,88.0,22.0,9.05,8.28,Excellent,High
150,7.72,0.36,-0.44,62.0,22.0,8.92,12.29,Good,Low
151,8.4,0.06,-0.12,44.0,72.0,8.42,8.44,Good,Medium
152,8.81,0.47,0.95,52.0,42.0,9.89,11.22,Excellent,Low
153,6.84,0.15,-0.078,86.0,90.0,6.99,7.13,Average,Medium
154,5.27,0.2,-0.39,42.0,98.0,7.21,8.04,Below Average,Low
155,4.44,0.43,-0.271,90.0,114.0,5.68,6.66,Below Average,Low
156,7.41,0.42,0.19,60.0,64.0,9.09,10.67,Good,Low
157,8.3,0.61,-1.22,46.0,60.0,8.21,8.14,Good,Low
158,7.53,0.43,-0.004,118.0,48.0,7.03,5.8,Good,High
159,6.94,0.31,0.025,130.0,24.0,6.72,5.53,Average,High
160,9.41,0.12,0.24,40.0,66.0,9.61,9.73,Excellent,Medium
161,8.82,0.32,0.12,144.0,48.0,8.3,6.74,Excellent,High
162,4.84,0.26,-0.14,104.0,20.0,6.82,17.14,Below Average,Low
163,7.95,0.79,0.374,136.0,96.0,9.42,11.5,Good,Low
164,7.02,0.7,0.247,116.0,78.0,7.64,8.56,Good,Low
165,6.78,0.57,0.221,118.0,22.0,6.59,5.57,Average,High
166,6.44,0.24,-0.49,44.0,62.0,6.25,6.12,Average,Medium
167,6.02,0.3,-0.6,48.0,100.0,7.93,8.85,Average,Low
168,8.15,0.13,-0.1,64.0,20.0,9.45,13.61,Good,Low
169,5.77,0.5,0.167,136.0,54.0,6.5,8.34,Average,Low
170,7.05,0.25,-0.028,130.0,66.0,8.6,11.65,Good,Low
171,7.93,0.55,0.417,78.0,68.0,7.54,7.1,Good,High
172,9.53,0.16,0.081,102.0,20.0,9.96,12.15,Excellent,Low
173,8.86,0.48,-0.233,136.0,88.0,8.43,7.77,Excellent,Medium
174,8.56,0.36,0.44,66.0,102.0,7.93,7.52,Excellent,High
175,8.32,0.35,0.164,86.0,82.0,9.89,11.53,Good,Low
176,7.72,0.42,-0.235,104.0,76.0,7.45,7.08,Good,Medium
177,5.28,0.32,-0.064,106.0,68.0,6.17,7.56,Below Average,Low
178,7.55,0.23,0.186,94.0,44.0,8.67,11.06,Good,Low
179,6.69,0.55,-0.445,72.0,78.0,6.48,6.28,Average,Medium
180,5.5,0.2,-0.018,138.0,38.0,5.68,6.34,Below Average,Medium
181,6.25,0.04,-0.08,46.0,24.0,7.82,10.84,Average,Low
182,6.84,0.72,0.506,96.0,36.0,7.08,7.72,Average,Medium
183,8.96,0.15,0.165,68.0,98.0,9.38,9.67,Excellent,Medium
184,5.3,0.28,-0.3,64.0,106.0,6.17,6.69,Below Average,Low
185,7.92,0.43,-0.244,130.0,60.0,9.57,13.14,Good,Low
186,4.29,0.14,-0.101,84.0,116.0,6.29,7.74,Below Average,Low
187,4.59,0.29,-0.11,82.0,24.0,6.01,10.86,Below Average,Low
188,8.28,0.25,-0.135,62.0,72.0,9.3,10.18,Good,Low
189,5.7,0.15,0.073,116.0,114.0,5.58,5.45,Average,Medium
190,8.27,0.4,-0.177,100.0,114.0,8.03,7.82,Good,Medium
191,7.79,0.11,0.011,94.0,110.0,9.48,10.93,Good,Low
192,7.11,0.35,-0.204,90.0,96.0,8.69,10.17,Good,Low
193,6.45,0.24,-0.086,138.0,110.0,7.36,8.5,Average,Low
194,6.64,0.27,0.203,92.0,116.0,8.23,9.49,Average,Low
195,8.29,0.47,-0.16,56.0,60.0,7.78,7.31,Good,Medium
196,4.01,0.64,-0.421,118.0,44.0,5.28,8.69,Below Average,Low
197,4.85,0.14,0.033,118.0,66.0,5.37,6.31,Below Average,Low
198,8.42,0.29,-0.105,142.0,24.0,8.14,6.48,Good,High
199,6.09,0.35,0.311,86.0,108.0,6.42,6.68,Average,Medium
200,9.11,0.52,0.635,64.0,18.0,9.89,12.65,Excellent,Low
201,4.64,0.31,0.375,64.0,110.0,6.21,7.12,Below Average,Low
202,6.66,0.54,-0.343,112.0,44.0,6.67,6.69,Average,Medium
203,8.55,0.2,-0.115,94.0,106.0,9.39,10.13,Excellent,Low
204,7.3,0.48,0.272,104.0,120.0,6.43,5.68,Good,High
205,6.83,0.18,-0.36,42.0,24.0,8.61,11.73,Average,Low
206,8.38,0.12,-0.23,42.0,100.0,8.98,9.23,Good,Low
207,6.33,0.2,0.115,72.0,112.0,6.18,6.08,Average,Medium
